sigma,sign,type,m,src,isValidation,id,graphtype,offset,answer,error,unsignedError,index
0.2,1,trig,0.8,data/Exp3/trig/line/S0.2m0.8.png,,1,line,-0.2,-0.165,-0.04,0.04,7
0.05,-1,line,0.1,data/Exp3/line/scatter/S0.05m-0.1.png,,1,scatter,0.12,0.125,-0.01,0.01,8
0.2,1,trig,0.2,data/Exp3/trig/area/S0.2m0.2.png,,1,area,0.1,-0.11,0.21,0.21,9
0.2,1,trig,0.8,data/Exp3/trig/area/S0.2m0.8.png,,1,area,0.2,0,0.2,0.2,10
0.2,-1,trig,0.8,data/Exp3/trig/area/S0.2m-0.8.png,,1,area,-0.15,-0.23,0.08,0.08,12
0.15,-1,line,0.1,data/Exp3/line/scatter/S0.15m-0.1.png,,1,scatter,-0.24,-0.24,0,0,13
0.1,1,line,0.8,data/Exp3/line/line/S0.1m0.8.png,,1,line,0.16,0.12,0.04,0.04,14
0.15,1,trig,0.4,data/Exp3/trig/scatter/S0.15m0.4.png,,1,scatter,-0.06,-0.035,-0.02,0.02,15
0.2,1,quad,0.4,data/Exp3/quad/area/S0.2m0.4.png,,1,area,-0.2,-0.32,0.12,0.12,16
0.1,-1,trig,0.4,data/Exp3/trig/line/S0.1m-0.4.png,,1,line,0.06,0.075,-0.01,0.01,17
0.15,-1,quad,0.2,data/Exp3/quad/line/S0.15m-0.2.png,,1,line,0,0.015,-0.01,0.01,18
0.15,-1,quad,0.1,data/Exp3/quad/area/S0.15m-0.1.png,,1,area,0.24,0.12,0.12,0.12,19
0.2,-1,quad,0.8,data/Exp3/quad/line/S0.2m-0.8.png,,1,line,-0.19,-0.13,-0.06,0.06,21
0.1,1,trig,0.1,data/Exp3/trig/line/S0.1m0.1.png,,1,line,0.2,0.17,0.03,0.03,22
0.15,-1,trig,0.4,data/Exp3/trig/line/S0.15m-0.4.png,,1,line,-0.09,-0.105,0.01,0.01,23
0.1,-1,trig,0.1,data/Exp3/trig/scatter/S0.1m-0.1.png,,1,scatter,-0.02,0.01,-0.03,0.03,25
0.1,1,line,0.8,data/Exp3/line/scatter/S0.1m0.8.png,,1,scatter,-0.25,-0.2,-0.05,0.05,20
0.2,-1,quad,0.4,data/Exp3/quad/scatter/S0.2m-0.4.png,,1,scatter,0.01,0.01,0,0,26
0.1,1,quad,0.4,data/Exp3/quad/line/S0.1m0.4.png,,1,line,0.17,0.13,0.04,0.04,27
0.05,-1,quad,0.2,data/Exp3/quad/area/S0.05m-0.2.png,,1,area,-0.02,-0.05,0.03,0.03,28
0.1,-1,line,0.8,data/Exp3/line/area/S0.1m-0.8.png,,1,area,0.03,-0.045,0.07,0.07,29
0.05,1,quad,0.8,data/Exp3/quad/scatter/S0.05m0.8.png,,1,scatter,-0.2,-0.195,-0.01,0.01,31
0.05,1,trig,0.1,data/Exp3/trig/scatter/S0.05m0.1.png,,1,scatter,0.2,0.19,0.01,0.01,30
0.1,1,line,0.8,data/Exp3/line/area/S0.1m0.8.png,,1,area,-0.24,-0.275,0.04,0.04,32
0.15,-1,trig,0.4,data/Exp3/trig/area/S0.15m-0.4.png,,1,area,-0.13,-0.195,0.07,0.07,33
0.15,1,trig,0.1,data/Exp3/trig/scatter/S0.15m0.1.png,,1,scatter,-0.22,-0.275,0.06,0.06,34
0.15,1,quad,0.2,data/Exp3/quad/scatter/S0.15m0.2.png,,1,scatter,0.24,0.265,-0.03,0.03,35
0.05,-1,trig,0.1,data/Exp3/trig/area/S0.05m-0.1.png,,1,area,0.24,0.21,0.03,0.03,36
0.15,1,quad,0.4,data/Exp3/quad/area/S0.15m0.4.png,,1,area,-0.07,-0.185,0.11,0.11,37
0.15,1,line,0.1,data/Exp3/line/area/S0.15m0.1.png,,1,area,0.24,0.15,0.09,0.09,38
0.2,1,trig,0.2,data/Exp3/trig/scatter/S0.2m0.2.png,,1,scatter,0.06,0.08,-0.02,0.02,40
0.15,1,line,0.4,data/Exp3/line/line/S0.15m0.4.png,,1,line,0.09,0.075,0.01,0.01,41
0.05,-1,line,0.2,data/Exp3/line/line/S0.05m-0.2.png,,1,line,-0.24,-0.23,-0.01,0.01,42
0.1,1,line,0.1,data/Exp3/line/scatter/S0.1m0.1.png,,1,scatter,-0.12,-0.105,-0.01,0.01,39
0.05,1,quad,0.2,data/Exp3/quad/line/S0.05m0.2.png,,1,line,-0.12,-0.14,0.02,0.02,44
