sigma,sign,type,m,src,isValidation,id,graphtype,offset,answer,error,unsignedError,index
0.1,-1,quad,0.4,data/Exp3/quad/scatter/S0.1m-0.4.png,,13,scatter,0.12,0.125,-0.01,0.01,1
0.15,-1,quad,0.4,data/Exp3/quad/area/S0.15m-0.4.png,,13,area,-0.21,-0.32,0.11,0.11,2
0.15,1,quad,0.2,data/Exp3/quad/area/S0.15m0.2.png,,13,area,-0.2,-0.365,0.16,0.16,3
0.05,-1,quad,0.2,data/Exp3/quad/scatter/S0.05m-0.2.png,,13,scatter,-0.1,-0.095,-0.01,0.01,4
0.1,1,trig,0.1,data/Exp3/trig/scatter/S0.1m0.1.png,,13,scatter,0.15,0.165,-0.02,0.02,5
0.05,-1,quad,0.8,data/Exp3/quad/line/S0.05m-0.8.png,,13,line,-0.04,-0.03,-0.01,0.01,6
0.05,-1,quad,0.8,data/Exp3/quad/area/S0.05m-0.8.png,,13,area,-0.09,-0.11,0.02,0.02,8
0.1,-1,quad,0.2,data/Exp3/quad/area/S0.1m-0.2.png,,13,area,0.23,0.115,0.12,0.12,9
0.05,1,quad,0.2,data/Exp3/quad/line/S0.05m0.2.png,,13,line,-0.18,-0.185,0.01,0.01,10
0.05,1,line,0.4,data/Exp3/line/line/S0.05m0.4.png,,13,line,0.21,0.21,0,0,11
0.05,1,quad,0.8,data/Exp3/quad/area/S0.05m0.8.png,,13,area,0.02,-0.03,0.05,0.05,12
0.2,-1,trig,0.1,data/Exp3/trig/line/S0.2m-0.1.png,,13,line,-0.11,-0.1,-0.01,0.01,13
0.2,-1,line,0.2,data/Exp3/line/line/S0.2m-0.2.png,,13,line,0.05,0,0.05,0.05,14
0.2,1,line,0.4,data/Exp3/line/line/S0.2m0.4.png,,13,line,-0.15,-0.095,-0.05,0.05,15
0.2,-1,line,0.2,data/Exp3/line/area/S0.2m-0.2.png,,13,area,-0.19,-0.27,0.08,0.08,16
0.1,1,line,0.2,data/Exp3/line/area/S0.1m0.2.png,,13,area,0.2,0.11,0.09,0.09,17
0.15,-1,line,0.2,data/Exp3/line/scatter/S0.15m-0.2.png,,13,scatter,-0.1,-0.105,0,0,18
0.15,-1,trig,0.8,data/Exp3/trig/area/S0.15m-0.8.png,,13,area,0.11,-0.025,0.14,0.14,19
0.15,-1,line,0.2,data/Exp3/line/area/S0.15m-0.2.png,,13,area,-0.07,-0.15,0.08,0.08,20
0.05,-1,quad,0.1,data/Exp3/quad/area/S0.05m-0.1.png,,13,area,-0.24,-0.255,0.02,0.02,21
0.1,-1,line,0.8,data/Exp3/line/area/S0.1m-0.8.png,,13,area,0.01,-0.055,0.07,0.07,22
0.2,1,quad,0.8,data/Exp3/quad/line/S0.2m0.8.png,,13,line,0.04,0.1,-0.06,0.06,23
0.05,1,trig,0.4,data/Exp3/trig/scatter/S0.05m0.4.png,,13,scatter,-0.12,-0.125,0.01,0.01,24
0.1,-1,trig,0.1,data/Exp3/trig/line/S0.1m-0.1.png,,13,line,-0.12,-0.135,0.02,0.02,25
0.2,1,line,0.1,data/Exp3/line/area/S0.2m0.1.png,,13,area,0.1,-0.035,0.14,0.14,26
0.15,1,line,0.1,data/Exp3/line/area/S0.15m0.1.png,,13,area,-0.14,-0.295,0.15,0.15,27
0.1,-1,line,0.4,data/Exp3/line/line/S0.1m-0.4.png,,13,line,-0.12,-0.15,0.03,0.03,28
0.2,-1,line,0.2,data/Exp3/line/scatter/S0.2m-0.2.png,,13,scatter,-0.08,-0.1,0.02,0.02,29
0.15,1,quad,0.4,data/Exp3/quad/scatter/S0.15m0.4.png,,13,scatter,-0.19,-0.16,-0.03,0.03,30
0.15,1,trig,0.4,data/Exp3/trig/line/S0.15m0.4.png,,13,line,0.08,0.085,-0.01,0.01,31
0.05,-1,trig,0.4,data/Exp3/trig/line/S0.05m-0.4.png,,13,line,0.05,0.055,0,0,32
0.2,1,line,0.4,data/Exp3/line/scatter/S0.2m0.4.png,,13,scatter,-0.17,-0.175,0,0,33
0.2,1,quad,0.4,data/Exp3/quad/area/S0.2m0.4.png,,13,area,0.02,-0.06,0.08,0.08,34
0.1,1,quad,0.4,data/Exp3/quad/scatter/S0.1m0.4.png,,13,scatter,0.22,0.22,0,0,35
0.1,1,line,0.2,data/Exp3/line/line/S0.1m0.2.png,,13,line,-0.22,-0.255,0.04,0.04,36
0.2,-1,quad,0.4,data/Exp3/quad/scatter/S0.2m-0.4.png,,13,scatter,-0.05,-0.065,0.01,0.01,37
0.05,1,line,0.1,data/Exp3/line/line/S0.05m0.1.png,,13,line,0.14,0.135,0.01,0.01,38
0.15,1,quad,0.2,data/Exp3/quad/line/S0.15m0.2.png,,13,line,0,-0.025,0.03,0.03,39
0.15,1,trig,0.4,data/Exp3/trig/area/S0.15m0.4.png,,13,area,0.02,-0.06,0.08,0.08,40
0.2,1,quad,0.8,data/Exp3/quad/area/S0.2m0.8.png,,13,area,-0.21,-0.33,0.12,0.12,41
0.15,-1,line,0.4,data/Exp3/line/scatter/S0.15m-0.4.png,,13,scatter,0.24,0.28,-0.04,0.04,42
0.15,-1,quad,0.1,data/Exp3/quad/line/S0.15m-0.1.png,,13,line,-0.16,-0.175,0.01,0.01,43
0.15,-1,trig,0.4,data/Exp3/trig/line/S0.15m-0.4.png,,13,line,-0.11,-0.12,0.01,0.01,44
0.05,1,line,0.8,data/Exp3/line/scatter/S0.05m0.8.png,,13,scatter,0.13,0.125,0.01,0.01,45
0.15,1,trig,0.1,data/Exp3/trig/scatter/S0.15m0.1.png,,13,scatter,-0.05,-0.075,0.02,0.02,46
0.05,-1,trig,0.2,data/Exp3/trig/line/S0.05m-0.2.png,,13,line,-0.17,-0.17,0,0,47
0.1,1,quad,0.8,data/Exp3/quad/area/S0.1m0.8.png,,13,area,-0.06,-0.16,0.1,0.1,48
0.1,-1,trig,0.8,data/Exp3/trig/scatter/S0.1m-0.8.png,,13,scatter,-0.2,-0.22,0.02,0.02,49
0.2,1,line,0.1,data/Exp3/line/scatter/S0.2m0.1.png,,13,scatter,-0.01,-0.01,0,0,50
0.1,1,quad,0.8,data/Exp3/quad/scatter/S0.1m0.8.png,,13,scatter,0.15,0.16,-0.01,0.01,51
0.2,-1,trig,0.8,data/Exp3/trig/scatter/S0.2m-0.8.png,,13,scatter,0,-0.005,0.01,0.01,52
0.1,1,line,0.4,data/Exp3/line/area/S0.1m0.4.png,,13,area,0.16,0.12,0.04,0.04,53
0.15,-1,quad,0.1,data/Exp3/quad/area/S0.15m-0.1.png,,13,area,0.18,0.115,0.06,0.06,54
0.15,-1,trig,0.8,data/Exp3/trig/line/S0.15m-0.8.png,,13,line,0.1,0.095,0.01,0.01,55
0.2,-1,line,0.8,data/Exp3/line/line/S0.2m-0.8.png,,13,line,0.24,0.245,-0.01,0.01,56
0.05,-1,trig,0.1,data/Exp3/trig/scatter/S0.05m-0.1.png,,13,scatter,0.24,0.25,-0.01,0.01,57
0.05,1,quad,0.2,data/Exp3/quad/scatter/S0.05m0.2.png,,13,scatter,0.15,0.155,-0.01,0.01,58
0.05,1,quad,0.1,data/Exp3/quad/scatter/S0.05m0.1.png,,13,scatter,-0.11,-0.115,0.01,0.01,59
0.1,-1,trig,0.8,data/Exp3/trig/line/S0.1m-0.8.png,,13,line,0.06,0.05,0.01,0.01,60
0.2,1,trig,0.2,data/Exp3/trig/area/S0.2m0.2.png,,13,area,-0.13,-0.225,0.1,0.1,61
0.2,1,trig,0.1,data/Exp3/trig/line/S0.2m0.1.png,,13,line,0.05,0.04,0.01,0.01,62
0.05,1,trig,0.1,data/Exp3/trig/area/S0.05m0.1.png,,13,area,-0.06,-0.07,0.01,0.01,63
0.1,-1,line,0.2,data/Exp3/line/line/S0.1m-0.2.png,,13,line,-0.15,-0.175,0.02,0.02,64
0.1,-1,trig,0.4,data/Exp3/trig/area/S0.1m-0.4.png,,13,area,-0.07,-0.14,0.07,0.07,65
0.2,-1,line,0.1,data/Exp3/line/scatter/S0.2m-0.1.png,,13,scatter,0.15,0.145,0.01,0.01,66
0.1,1,line,0.4,data/Exp3/line/line/S0.1m0.4.png,,13,line,0.09,0.055,0.03,0.03,67
0.05,-1,line,0.2,data/Exp3/line/area/S0.05m-0.2.png,,13,area,0.2,0.175,0.03,0.03,68
0.15,1,trig,0.1,data/Exp3/trig/line/S0.15m0.1.png,,13,line,-0.01,-0.03,0.02,0.02,69
0.2,1,line,0.2,data/Exp3/line/scatter/S0.2m0.2.png,,13,scatter,-0.21,-0.255,0.05,0.05,70
0.1,1,line,0.8,data/Exp3/line/line/S0.1m0.8.png,,13,line,-0.06,-0.07,0.01,0.01,71
0.05,1,line,0.2,data/Exp3/line/area/S0.05m0.2.png,,13,area,0.09,0.09,0,0,72
0.1,-1,line,0.2,data/Exp3/line/scatter/S0.1m-0.2.png,,13,scatter,0.15,0.165,-0.02,0.02,73
0.2,-1,trig,0.8,data/Exp3/trig/area/S0.2m-0.8.png,,13,area,-0.22,-0.34,0.12,0.12,74
0.15,1,quad,0.8,data/Exp3/quad/line/S0.15m0.8.png,,13,line,0.11,0.095,0.01,0.01,75
0.15,-1,quad,0.2,data/Exp3/quad/line/S0.15m-0.2.png,,13,line,-0.17,-0.155,-0.02,0.02,76
0.2,1,quad,0.2,data/Exp3/quad/line/S0.2m0.2.png,,13,line,0.21,0.185,0.02,0.02,77
0.05,1,trig,0.4,data/Exp3/trig/area/S0.05m0.4.png,,13,area,0.13,0.115,0.01,0.01,78
0.15,-1,quad,0.8,data/Exp3/quad/scatter/S0.15m-0.8.png,,13,scatter,-0.24,-0.245,0.01,0.01,79
0.2,-1,quad,0.4,data/Exp3/quad/area/S0.2m-0.4.png,,13,area,-0.07,-0.21,0.14,0.14,80
0.1,1,trig,0.1,data/Exp3/trig/area/S0.1m0.1.png,,13,area,-0.15,-0.22,0.07,0.07,81
0.15,1,line,0.2,data/Exp3/line/scatter/S0.15m0.2.png,,13,scatter,-0.03,-0.05,0.02,0.02,82
0.2,-1,quad,0.4,data/Exp3/quad/line/S0.2m-0.4.png,,13,line,-0.05,-0.11,0.06,0.06,83
0.05,-1,line,0.4,data/Exp3/line/area/S0.05m-0.4.png,,13,area,0.2,0.17,0.03,0.03,84
0.05,1,line,0.8,data/Exp3/line/line/S0.05m0.8.png,,13,line,0.25,0.245,0.01,0.01,85
0.15,1,trig,0.8,data/Exp3/trig/area/S0.15m0.8.png,,13,area,-0.22,-0.28,0.06,0.06,89
0.1,-1,trig,0.1,data/Exp3/trig/scatter/S0.1m-0.1.png,,13,scatter,0.04,0.065,-0.03,0.03,90
0.05,-1,quad,0.8,data/Exp3/quad/scatter/S0.05m-0.8.png,,13,scatter,0.15,0.17,-0.02,0.02,86
0.05,-1,trig,0.4,data/Exp3/trig/scatter/S0.05m-0.4.png,,13,scatter,-0.17,-0.18,0.01,0.01,91
0.1,-1,line,0.1,data/Exp3/line/area/S0.1m-0.1.png,,13,area,0.03,-0.02,0.05,0.05,92
0.1,1,trig,0.1,data/Exp3/trig/line/S0.1m0.1.png,,13,line,-0.04,-0.055,0.01,0.01,93
0.05,-1,trig,0.1,data/Exp3/trig/line/S0.05m-0.1.png,,13,line,-0.03,-0.025,0,0,94
0.1,1,trig,0.2,data/Exp3/trig/scatter/S0.1m0.2.png,,13,scatter,-0.16,-0.175,0.01,0.01,95
0.2,1,quad,0.8,data/Exp3/quad/scatter/S0.2m0.8.png,,13,scatter,0.17,0.115,0.06,0.06,96
0.2,-1,quad,0.1,data/Exp3/quad/area/S0.2m-0.1.png,,13,area,0.06,-0.045,0.1,0.1,97
0.15,1,quad,0.8,data/Exp3/quad/scatter/S0.15m0.8.png,,13,scatter,0,-0.005,0.01,0.01,99
0.2,1,line,0.8,data/Exp3/line/area/S0.2m0.8.png,,14,area,0.17,0.205,-0.03,0.03,0
0.1,-1,quad,0.8,data/Exp3/quad/scatter/S0.1m-0.8.png,,14,scatter,-0.17,-0.17,0,0,1
0.05,-1,trig,0.2,data/Exp3/trig/area/S0.05m-0.2.png,,14,area,-0.2,-0.205,0,0,2
0.05,1,trig,0.4,data/Exp3/trig/line/S0.05m0.4.png,,14,line,0.01,0.01,0,0,4
0.2,-1,trig,0.8,data/Exp3/trig/line/S0.2m-0.8.png,,14,line,0.13,0.115,0.01,0.01,5
0.15,1,quad,0.4,data/Exp3/quad/scatter/S0.15m0.4.png,,14,scatter,-0.04,-0.02,-0.02,0.02,6
0.1,-1,trig,0.4,data/Exp3/trig/scatter/S0.1m-0.4.png,,14,scatter,0.2,0.185,0.02,0.02,8
0.15,1,line,0.1,data/Exp3/line/line/S0.15m0.1.png,,14,line,0.17,0.16,0.01,0.01,9
0.2,1,quad,0.2,data/Exp3/quad/line/S0.2m0.2.png,,14,line,-0.06,-0.035,-0.02,0.02,10
0.15,-1,trig,0.4,data/Exp3/trig/area/S0.15m-0.4.png,,14,area,-0.2,-0.18,-0.02,0.02,11
0.1,-1,trig,0.4,data/Exp3/trig/line/S0.1m-0.4.png,,14,line,-0.23,-0.235,0,0,12
0.05,1,quad,0.4,data/Exp3/quad/area/S0.05m0.4.png,,14,area,-0.06,-0.08,0.02,0.02,13
0.2,-1,trig,0.8,data/Exp3/trig/scatter/S0.2m-0.8.png,,14,scatter,-0.01,0.025,-0.04,0.04,14
0.2,1,quad,0.2,data/Exp3/quad/scatter/S0.2m0.2.png,,14,scatter,-0.02,-0.01,-0.01,0.01,15
0.1,1,trig,0.2,data/Exp3/trig/scatter/S0.1m0.2.png,,14,scatter,0.04,0.015,0.03,0.03,16
0.05,-1,quad,0.1,data/Exp3/quad/line/S0.05m-0.1.png,,14,line,-0.22,-0.22,0,0,18
0.2,-1,quad,0.8,data/Exp3/quad/area/S0.2m-0.8.png,,14,area,-0.07,-0.085,0.01,0.01,19
0.05,1,quad,0.1,data/Exp3/quad/area/S0.05m0.1.png,,14,area,0,-0.01,0.01,0.01,20
0.2,1,line,0.1,data/Exp3/line/line/S0.2m0.1.png,,14,line,-0.19,-0.13,-0.06,0.06,21
0.05,1,line,0.8,data/Exp3/line/line/S0.05m0.8.png,,14,line,-0.16,-0.145,-0.02,0.02,22
0.2,1,line,0.4,data/Exp3/line/line/S0.2m0.4.png,,14,line,0.23,0.25,-0.02,0.02,23
0.1,1,quad,0.2,data/Exp3/quad/area/S0.1m0.2.png,,14,area,-0.24,-0.23,-0.01,0.01,24
0.1,-1,line,0.1,data/Exp3/line/area/S0.1m-0.1.png,,14,area,0.01,0.015,0,0,25
0.1,1,line,0.8,data/Exp3/line/scatter/S0.1m0.8.png,,14,scatter,-0.01,-0.015,0,0,26
0.15,-1,line,0.1,data/Exp3/line/line/S0.15m-0.1.png,,14,line,0.13,0.125,0.01,0.01,27
0.15,-1,quad,0.4,data/Exp3/quad/scatter/S0.15m-0.4.png,,14,scatter,0.11,0.125,-0.01,0.01,28
0.15,-1,trig,0.2,data/Exp3/trig/line/S0.15m-0.2.png,,14,line,0.21,0.205,0.01,0.01,29
0.15,1,trig,0.2,data/Exp3/trig/scatter/S0.15m0.2.png,,14,scatter,0.17,0.165,0.01,0.01,30
0.1,1,quad,0.4,data/Exp3/quad/line/S0.1m0.4.png,,14,line,-0.06,-0.065,0.01,0.01,31
0.2,1,quad,0.4,data/Exp3/quad/scatter/S0.2m0.4.png,,14,scatter,0.25,0.26,-0.01,0.01,32
0.1,1,line,0.1,data/Exp3/line/area/S0.1m0.1.png,,14,area,0.1,0.095,0.01,0.01,33
0.2,1,quad,0.1,data/Exp3/quad/area/S0.2m0.1.png,,14,area,0.13,0.025,0.11,0.11,34
0.05,-1,trig,0.1,data/Exp3/trig/area/S0.05m-0.1.png,,14,area,-0.12,-0.11,-0.01,0.01,35
0.1,-1,quad,0.4,data/Exp3/quad/area/S0.1m-0.4.png,,14,area,-0.1,-0.11,0.01,0.01,36
0.1,1,line,0.1,data/Exp3/line/line/S0.1m0.1.png,,14,line,-0.23,-0.22,-0.01,0.01,37
0.2,-1,quad,0.2,data/Exp3/quad/area/S0.2m-0.2.png,,14,area,0.01,0,0.01,0.01,38
0.15,1,line,0.8,data/Exp3/line/line/S0.15m0.8.png,,14,line,-0.05,-0.09,0.04,0.04,39
0.15,-1,trig,0.2,data/Exp3/trig/area/S0.15m-0.2.png,,14,area,0.24,0.225,0.01,0.01,40
0.05,1,line,0.4,data/Exp3/line/scatter/S0.05m0.4.png,,14,scatter,0.01,0.025,-0.02,0.02,41
0.1,-1,quad,0.2,data/Exp3/quad/area/S0.1m-0.2.png,,14,area,0.08,0.045,0.04,0.04,42
0.05,1,quad,0.1,data/Exp3/quad/line/S0.05m0.1.png,,14,line,-0.12,-0.1,-0.02,0.02,43
0.05,-1,quad,0.1,data/Exp3/quad/scatter/S0.05m-0.1.png,,14,scatter,-0.15,-0.15,0,0,44
0.1,1,trig,0.1,data/Exp3/trig/scatter/S0.1m0.1.png,,14,scatter,-0.24,-0.215,-0.02,0.02,45
0.05,-1,line,0.4,data/Exp3/line/scatter/S0.05m-0.4.png,,14,scatter,-0.08,-0.08,0,0,46
0.1,1,line,0.2,data/Exp3/line/line/S0.1m0.2.png,,14,line,0.22,0.215,0.01,0.01,47
0.2,1,trig,0.4,data/Exp3/trig/area/S0.2m0.4.png,,14,area,0.19,0.185,0.01,0.01,48
0.1,-1,quad,0.2,data/Exp3/quad/scatter/S0.1m-0.2.png,,14,scatter,0.16,0.155,0.01,0.01,49
0.2,-1,trig,0.2,data/Exp3/trig/scatter/S0.2m-0.2.png,,14,scatter,0.03,0.05,-0.02,0.02,50
0.2,-1,quad,0.1,data/Exp3/quad/area/S0.2m-0.1.png,,14,area,-0.11,-0.17,0.06,0.06,51
0.1,1,trig,0.4,data/Exp3/trig/area/S0.1m0.4.png,,14,area,0.13,0.115,0.01,0.01,52
0.15,1,trig,0.8,data/Exp3/trig/area/S0.15m0.8.png,,14,area,-0.22,-0.185,-0.04,0.04,53
0.15,-1,trig,0.1,data/Exp3/trig/area/S0.15m-0.1.png,,14,area,0.08,0.035,0.04,0.04,54
0.05,-1,line,0.8,data/Exp3/line/scatter/S0.05m-0.8.png,,14,scatter,0.07,0.06,0.01,0.01,56
0.15,1,quad,0.1,data/Exp3/quad/area/S0.15m0.1.png,,14,area,-0.19,-0.21,0.02,0.02,55
0.1,-1,quad,0.2,data/Exp3/quad/line/S0.1m-0.2.png,,14,line,-0.13,-0.125,-0.01,0.01,57
0.2,1,line,0.1,data/Exp3/line/scatter/S0.2m0.1.png,,14,scatter,-0.05,-0.045,-0.01,0.01,58
0.15,-1,trig,0.8,data/Exp3/trig/area/S0.15m-0.8.png,,14,area,0.25,0.23,0.02,0.02,59
0.05,-1,trig,0.2,data/Exp3/trig/scatter/S0.05m-0.2.png,,14,scatter,-0.09,-0.095,0.01,0.01,60
0.05,-1,line,0.4,data/Exp3/line/area/S0.05m-0.4.png,,14,area,-0.02,-0.01,-0.01,0.01,61
0.05,1,line,0.2,data/Exp3/line/scatter/S0.05m0.2.png,,14,scatter,0.05,0.05,0,0,62
0.05,1,trig,0.8,data/Exp3/trig/scatter/S0.05m0.8.png,,14,scatter,-0.01,-0.01,0,0,63
0.15,-1,trig,0.2,data/Exp3/trig/scatter/S0.15m-0.2.png,,14,scatter,-0.11,-0.105,-0.01,0.01,64
0.05,-1,quad,0.2,data/Exp3/quad/line/S0.05m-0.2.png,,14,line,-0.01,-0.02,0.01,0.01,65
0.2,-1,line,0.1,data/Exp3/line/line/S0.2m-0.1.png,,14,line,-0.15,-0.155,0.01,0.01,66
0.15,1,line,0.2,data/Exp3/line/area/S0.15m0.2.png,,14,area,-0.09,-0.125,0.04,0.04,67
0.15,-1,line,0.1,data/Exp3/line/scatter/S0.15m-0.1.png,,14,scatter,0.08,0.05,0.03,0.03,68
0.1,1,line,0.8,data/Exp3/line/area/S0.1m0.8.png,,14,area,0.22,0.195,0.02,0.02,69
0.1,-1,line,0.1,data/Exp3/line/line/S0.1m-0.1.png,,14,line,0.09,0.1,-0.01,0.01,70
0.15,-1,line,0.8,data/Exp3/line/line/S0.15m-0.8.png,,14,line,-0.08,-0.055,-0.03,0.03,71
0.05,1,trig,0.1,data/Exp3/trig/scatter/S0.05m0.1.png,,14,scatter,0.12,0.105,0.01,0.01,72
0.05,-1,line,0.8,data/Exp3/line/area/S0.05m-0.8.png,,14,area,0.16,0.145,0.02,0.02,73
0.15,1,quad,0.4,data/Exp3/quad/line/S0.15m0.4.png,,14,line,0.05,0.025,0.03,0.03,74
0.1,-1,quad,0.8,data/Exp3/quad/area/S0.1m-0.8.png,,14,area,-0.22,-0.18,-0.04,0.04,76
0.15,1,line,0.2,data/Exp3/line/line/S0.15m0.2.png,,14,line,0.07,0.045,0.03,0.03,77
0.1,1,quad,0.4,data/Exp3/quad/scatter/S0.1m0.4.png,,14,scatter,-0.01,-0.035,0.03,0.03,78
0.15,1,trig,0.1,data/Exp3/trig/scatter/S0.15m0.1.png,,14,scatter,-0.06,-0.055,0,0,79
0.05,1,line,0.2,data/Exp3/line/line/S0.05m0.2.png,,14,line,0.23,0.225,0.01,0.01,80
0.05,-1,trig,0.8,data/Exp3/trig/line/S0.05m-0.8.png,,14,line,0.14,0.135,0.01,0.01,81
0.2,-1,trig,0.4,data/Exp3/trig/line/S0.2m-0.4.png,,14,line,-0.2,-0.14,-0.06,0.06,82
0.1,1,quad,0.8,data/Exp3/quad/line/S0.1m0.8.png,,14,line,0.24,0.21,0.03,0.03,83
0.2,1,trig,0.8,data/Exp3/trig/line/S0.2m0.8.png,,14,line,-0.23,-0.21,-0.02,0.02,84
0.05,1,trig,0.2,data/Exp3/trig/area/S0.05m0.2.png,,14,area,-0.22,-0.2,-0.02,0.02,85
0.1,-1,quad,0.8,data/Exp3/quad/line/S0.1m-0.8.png,,14,line,0.05,0.05,0,0,86
0.15,-1,trig,0.8,data/Exp3/trig/scatter/S0.15m-0.8.png,,14,scatter,-0.07,-0.06,-0.01,0.01,87
0.2,-1,quad,0.1,data/Exp3/quad/scatter/S0.2m-0.1.png,,14,scatter,-0.03,-0.045,0.01,0.01,88
0.2,-1,trig,0.2,data/Exp3/trig/line/S0.2m-0.2.png,,14,line,-0.18,-0.14,-0.04,0.04,89
0.15,1,trig,0.4,data/Exp3/trig/area/S0.15m0.4.png,,14,area,-0.24,-0.225,-0.01,0.01,90
0.2,-1,trig,0.4,data/Exp3/trig/area/S0.2m-0.4.png,,14,area,0.08,0.025,0.06,0.06,91
0.05,1,quad,0.8,data/Exp3/quad/area/S0.05m0.8.png,,14,area,0.04,0.015,0.03,0.03,92
0.05,-1,trig,0.4,data/Exp3/trig/line/S0.05m-0.4.png,,14,line,-0.06,-0.045,-0.01,0.01,93
0.15,1,line,0.8,data/Exp3/line/scatter/S0.15m0.8.png,,14,scatter,0.2,0.16,0.04,0.04,94
0.2,1,line,0.2,data/Exp3/line/area/S0.2m0.2.png,,14,area,-0.16,-0.155,-0.01,0.01,95
0.2,1,quad,0.8,data/Exp3/quad/scatter/S0.2m0.8.png,,14,scatter,0.01,-0.035,0.05,0.05,96
0.2,-1,quad,0.4,data/Exp3/quad/scatter/S0.2m-0.4.png,,14,scatter,-0.24,-0.225,-0.01,0.01,97
0.1,-1,quad,0.1,data/Exp3/quad/scatter/S0.1m-0.1.png,,14,scatter,-0.16,-0.145,-0.02,0.02,98
0.15,-1,line,0.4,data/Exp3/line/line/S0.15m-0.4.png,,14,line,-0.14,-0.15,0.01,0.01,99
0.1,-1,line,0.8,data/Exp3/line/area/S0.1m-0.8.png,,15,area,0.23,0.325,-0.1,0.1,0
0.2,1,line,0.1,data/Exp3/line/scatter/S0.2m0.1.png,,15,scatter,0.19,0.165,0.02,0.02,1
0.1,-1,quad,0.4,data/Exp3/quad/scatter/S0.1m-0.4.png,,15,scatter,0.17,0.17,0,0,2
0.05,1,line,0.4,data/Exp3/line/area/S0.05m0.4.png,,15,area,-0.06,0.045,-0.1,0.1,3
0.05,1,quad,0.8,data/Exp3/quad/scatter/S0.05m0.8.png,,15,scatter,0.13,0.115,0.01,0.01,4
0.15,-1,line,0.1,data/Exp3/line/line/S0.15m-0.1.png,,15,line,-0.22,0.115,-0.34,0.34,5
0.05,-1,line,0.2,data/Exp3/line/scatter/S0.05m-0.2.png,,15,scatter,0.15,0.16,-0.01,0.01,8
0.1,1,line,0.1,data/Exp3/line/line/S0.1m0.1.png,,15,line,-0.12,0.09,-0.21,0.21,9
0.05,1,trig,0.4,data/Exp3/trig/line/S0.05m0.4.png,,15,line,0.03,0.035,-0.01,0.01,6
0.2,-1,quad,0.2,data/Exp3/quad/area/S0.2m-0.2.png,,15,area,0.11,0.5,-0.39,0.39,11
0.2,1,trig,0.2,data/Exp3/trig/scatter/S0.2m0.2.png,,15,scatter,-0.15,-0.15,0,0,10
0.1,-1,quad,0.2,data/Exp3/quad/scatter/S0.1m-0.2.png,,15,scatter,-0.21,-0.115,-0.09,0.09,12
0.2,-1,quad,0.4,data/Exp3/quad/area/S0.2m-0.4.png,,15,area,0.01,0.215,-0.2,0.2,13
0.1,1,quad,0.2,data/Exp3/quad/line/S0.1m0.2.png,,15,line,-0.15,-0.16,0.01,0.01,14
0.2,-1,trig,0.8,data/Exp3/trig/area/S0.2m-0.8.png,,15,area,0.06,0.275,-0.22,0.22,15
0.1,-1,trig,0.4,data/Exp3/trig/area/S0.1m-0.4.png,,15,area,-0.15,-0.06,-0.09,0.09,16
0.2,1,quad,0.8,data/Exp3/quad/line/S0.2m0.8.png,,15,line,0.07,0.04,0.03,0.03,17
0.1,1,quad,0.4,data/Exp3/quad/scatter/S0.1m0.4.png,,15,scatter,0.15,0.18,-0.03,0.03,18
0.1,-1,line,0.2,data/Exp3/line/area/S0.1m-0.2.png,,15,area,-0.04,0,-0.04,0.04,19
0.1,-1,trig,0.4,data/Exp3/trig/line/S0.1m-0.4.png,,15,line,0.16,0.23,-0.07,0.07,20
0.1,1,trig,0.1,data/Exp3/trig/area/S0.1m0.1.png,,15,area,0.03,0.115,-0.09,0.09,21
0.15,1,trig,0.2,data/Exp3/trig/area/S0.15m0.2.png,,15,area,-0.15,0.035,-0.18,0.18,22
0.15,-1,quad,0.2,data/Exp3/quad/area/S0.15m-0.2.png,,15,area,0.24,0.355,-0.11,0.11,23
0.15,-1,quad,0.1,data/Exp3/quad/scatter/S0.15m-0.1.png,,15,scatter,0.2,0.21,-0.01,0.01,24
0.05,1,trig,0.1,data/Exp3/trig/area/S0.05m0.1.png,,15,area,-0.23,-0.25,0.02,0.02,25
0.15,1,trig,0.4,data/Exp3/trig/area/S0.15m0.4.png,,15,area,0.06,0.27,-0.21,0.21,26
0.05,1,quad,0.2,data/Exp3/quad/line/S0.05m0.2.png,,15,line,-0.11,-0.105,-0.01,0.01,27
0.2,1,trig,0.8,data/Exp3/trig/area/S0.2m0.8.png,,15,area,0.12,0.31,-0.19,0.19,28
0.2,-1,line,0.8,data/Exp3/line/scatter/S0.2m-0.8.png,,15,scatter,0.2,0.13,0.07,0.07,30
0.15,-1,quad,0.2,data/Exp3/quad/scatter/S0.15m-0.2.png,,15,scatter,0.22,0.215,0.01,0.01,31
0.05,1,trig,0.2,data/Exp3/trig/area/S0.05m0.2.png,,15,area,-0.04,-0.07,0.03,0.03,32
0.15,1,trig,0.4,data/Exp3/trig/scatter/S0.15m0.4.png,,15,scatter,-0.05,0.07,-0.12,0.12,33
0.05,1,line,0.1,data/Exp3/line/line/S0.05m0.1.png,,15,line,-0.06,-0.065,0.01,0.01,34
0.15,1,trig,0.2,data/Exp3/trig/scatter/S0.15m0.2.png,,15,scatter,0,0.035,-0.04,0.04,35
0.2,1,line,0.2,data/Exp3/line/line/S0.2m0.2.png,,15,line,-0.01,0.095,-0.1,0.1,36
