sigma,sign,type,m,src,isValidation,id,graphtype,answer,error,unsignedError,index
0.1,1,quad,0.8,data/Exp2/quad/scatter/S0.1m0.8.png,,0,scatter,0.81,-0.01,0.01,85
0.2,-1,trig,0.2,data/Exp2/trig/scatter/S0.2m-0.2.png,,0,scatter,-0.34,0.14,0.14,86
0.15,1,trig,0.4,data/Exp2/trig/line/S0.15m0.4.png,,0,line,0.5,-0.1,0.1,87
0.15,-1,quad,0.1,data/Exp2/quad/area/S0.15m-0.1.png,,0,area,-0.17,0.07,0.07,88
0.1,-1,line,0.8,data/Exp2/line/scatter/S0.1m-0.8.png,,0,scatter,-0.75,-0.05,0.05,89
0.05,1,trig,0.2,data/Exp2/trig/line/S0.05m0.2.png,,0,line,0.23,-0.03,0.03,90
0.15,1,trig,0.2,data/Exp2/trig/line/S0.15m0.2.png,,0,line,0.2,0,0,91
0.05,1,trig,0.8,data/Exp2/trig/scatter/S0.05m0.8.png,,0,scatter,0.85,-0.05,0.05,92
0.15,-1,trig,0.4,data/Exp2/trig/scatter/S0.15m-0.4.png,,0,scatter,-0.56,0.16,0.16,93
0.05,1,trig,0.8,data/Exp2/trig/area/S0.05m0.8.png,,0,area,0.86,-0.06,0.06,94
0.1,-1,trig,0.1,data/Exp2/trig/area/S0.1m-0.1.png,,0,area,-0.13,0.03,0.03,95
0.15,-1,line,0.2,data/Exp2/line/scatter/S0.15m-0.2.png,,0,scatter,-0.35,0.15,0.15,96
0.05,-1,line,0.1,data/Exp2/line/scatter/S0.05m-0.1.png,,0,scatter,-0.13,0.03,0.03,97
0.15,1,quad,0.2,data/Exp2/quad/scatter/S0.15m0.2.png,,0,scatter,0.43,-0.23,0.23,98
0.05,1,line,0.1,data/Exp2/line/scatter/S0.05m0.1.png,,0,scatter,0.14,-0.04,0.04,99
0.1,-1,quad,0.8,data/Exp2/quad/scatter/S0.1m-0.8.png,,1,scatter,-0.76,-0.04,0.04,1
0.05,1,quad,0.8,data/Exp2/quad/area/S0.05m0.8.png,,1,area,0.83,-0.03,0.03,0
0.1,1,quad,0.8,data/Exp2/quad/scatter/S0.1m0.8.png,,1,scatter,0.93,-0.13,0.13,2
0.15,-1,quad,0.4,data/Exp2/quad/scatter/S0.15m-0.4.png,,1,scatter,-0.56,0.16,0.16,3
0.1,-1,trig,0.4,data/Exp2/trig/scatter/S0.1m-0.4.png,,1,scatter,-0.57,0.17,0.17,4
0.2,1,quad,0.4,data/Exp2/quad/area/S0.2m0.4.png,,1,area,0.33,0.07,0.07,5
0.05,-1,quad,0.8,data/Exp2/quad/area/S0.05m-0.8.png,,1,area,-0.86,0.06,0.06,6
0.1,1,trig,0.2,data/Exp2/trig/line/S0.1m0.2.png,,1,line,0.28,-0.08,0.08,7
0.2,1,trig,0.1,data/Exp2/trig/line/S0.2m0.1.png,,1,line,-0.11,0.21,0.21,8
0.2,-1,trig,0.1,data/Exp2/trig/line/S0.2m-0.1.png,,1,line,-0.22,0.12,0.12,9
0.15,-1,line,0.2,data/Exp2/line/scatter/S0.15m-0.2.png,,1,scatter,-0.18,-0.02,0.02,10
0.2,1,trig,0.8,data/Exp2/trig/line/S0.2m0.8.png,,1,line,0.79,0.01,0.01,12
0.05,1,quad,0.4,data/Exp2/quad/line/S0.05m0.4.png,,1,line,0.41,-0.01,0.01,13
0.15,-1,line,0.4,data/Exp2/line/area/S0.15m-0.4.png,,1,area,-0.55,0.15,0.15,11
0.2,1,line,0.8,data/Exp2/line/scatter/S0.2m0.8.png,,1,scatter,1,-0.2,0.2,14
0.2,-1,line,0.4,data/Exp2/line/line/S0.2m-0.4.png,,1,line,-0.34,-0.06,0.06,15
0.05,-1,line,0.4,data/Exp2/line/area/S0.05m-0.4.png,,1,area,-0.4,0,0,16
0.2,1,trig,0.2,data/Exp2/trig/area/S0.2m0.2.png,,1,area,0.18,0.02,0.02,17
0.05,1,line,0.8,data/Exp2/line/scatter/S0.05m0.8.png,,1,scatter,0.83,-0.03,0.03,18
0.15,1,quad,0.4,data/Exp2/quad/line/S0.15m0.4.png,,1,line,0.45,-0.05,0.05,19
0.05,1,line,0.4,data/Exp2/line/area/S0.05m0.4.png,,1,area,0.49,-0.09,0.09,20
0.15,1,line,0.2,data/Exp2/line/scatter/S0.15m0.2.png,,1,scatter,0.24,-0.04,0.04,21
0.2,1,trig,0.1,data/Exp2/trig/scatter/S0.2m0.1.png,,1,scatter,0.02,0.08,0.08,22
0.2,-1,quad,0.2,data/Exp2/quad/area/S0.2m-0.2.png,,1,area,-0.54,0.34,0.34,23
0.2,1,line,0.4,data/Exp2/line/scatter/S0.2m0.4.png,,1,scatter,0.73,-0.33,0.33,24
0.15,1,line,0.4,data/Exp2/line/area/S0.15m0.4.png,,1,area,0.51,-0.11,0.11,25
0.05,-1,line,0.2,data/Exp2/line/line/S0.05m-0.2.png,,1,line,-0.2,0,0,26
0.1,1,quad,0.2,data/Exp2/quad/area/S0.1m0.2.png,,1,area,0.23,-0.03,0.03,27
0.15,1,quad,0.1,data/Exp2/quad/line/S0.15m0.1.png,,1,line,0.15,-0.05,0.05,28
0.05,1,line,0.2,data/Exp2/line/scatter/S0.05m0.2.png,,1,scatter,0.34,-0.14,0.14,29
0.2,1,trig,0.4,data/Exp2/trig/line/S0.2m0.4.png,,1,line,0.5,-0.1,0.1,30
0.2,-1,line,0.4,data/Exp2/line/area/S0.2m-0.4.png,,1,area,-0.45,0.05,0.05,31
0.15,-1,line,0.1,data/Exp2/line/scatter/S0.15m-0.1.png,,1,scatter,-0.13,0.03,0.03,32
0.05,-1,line,0.8,data/Exp2/line/scatter/S0.05m-0.8.png,,1,scatter,-0.81,0.01,0.01,33
0.1,1,quad,0.1,data/Exp2/quad/line/S0.1m0.1.png,,1,line,0.12,-0.02,0.02,34
0.15,1,line,0.2,data/Exp2/line/area/S0.15m0.2.png,,1,area,0.3,-0.1,0.1,35
0.1,1,line,0.8,data/Exp2/line/line/S0.1m0.8.png,,1,line,0.76,0.04,0.04,36
0.1,-1,trig,0.1,data/Exp2/trig/area/S0.1m-0.1.png,,1,area,-0.1,0,0,37
0.1,-1,trig,0.2,data/Exp2/trig/scatter/S0.1m-0.2.png,,1,scatter,-0.32,0.12,0.12,38
0.1,-1,quad,0.4,data/Exp2/quad/area/S0.1m-0.4.png,,1,area,-0.46,0.06,0.06,39
0.1,1,trig,0.4,data/Exp2/trig/area/S0.1m0.4.png,,1,area,0.51,-0.11,0.11,41
0.05,1,quad,0.1,data/Exp2/quad/area/S0.05m0.1.png,,1,area,0.11,-0.01,0.01,42
0.05,-1,quad,0.1,data/Exp2/quad/area/S0.05m-0.1.png,,1,area,-0.11,0.01,0.01,43
0.05,-1,line,0.1,data/Exp2/line/line/S0.05m-0.1.png,,1,line,-0.12,0.02,0.02,44
0.15,-1,trig,0.2,data/Exp2/trig/area/S0.15m-0.2.png,,1,area,-0.2,0,0,45
0.1,1,quad,0.2,data/Exp2/quad/scatter/S0.1m0.2.png,,1,scatter,0.43,-0.23,0.23,47
0.2,-1,trig,0.1,data/Exp2/trig/area/S0.2m-0.1.png,,1,area,-0.15,0.05,0.05,46
0.2,1,quad,0.2,data/Exp2/quad/line/S0.2m0.2.png,,1,line,0.19,0.01,0.01,48
0.05,-1,trig,0.2,data/Exp2/trig/area/S0.05m-0.2.png,,1,area,-0.22,0.02,0.02,49
0.05,1,trig,0.8,data/Exp2/trig/line/S0.05m0.8.png,,1,line,0.88,-0.08,0.08,50
0.15,-1,line,0.1,data/Exp2/line/line/S0.15m-0.1.png,,1,line,-0.16,0.06,0.06,51
0.1,1,trig,0.4,data/Exp2/trig/line/S0.1m0.4.png,,1,line,0.47,-0.07,0.07,52
0.15,-1,line,0.1,data/Exp2/line/area/S0.15m-0.1.png,,1,area,-0.1,0,0,53
0.15,-1,trig,0.8,data/Exp2/trig/scatter/S0.15m-0.8.png,,1,scatter,-1,0.2,0.2,54
0.2,-1,trig,0.2,data/Exp2/trig/line/S0.2m-0.2.png,,1,line,-0.36,0.16,0.16,55
0.15,-1,trig,0.4,data/Exp2/trig/line/S0.15m-0.4.png,,1,line,-0.6,0.2,0.2,56
0.1,-1,line,0.2,data/Exp2/line/line/S0.1m-0.2.png,,1,line,-0.3,0.1,0.1,57
0.05,1,line,0.1,data/Exp2/line/line/S0.05m0.1.png,,1,line,0.15,-0.05,0.05,58
0.2,-1,trig,0.2,data/Exp2/trig/scatter/S0.2m-0.2.png,,1,scatter,-0.48,0.28,0.28,59
0.15,-1,quad,0.8,data/Exp2/quad/area/S0.15m-0.8.png,,1,area,-1,0.2,0.2,60
0.05,1,quad,0.2,data/Exp2/quad/line/S0.05m0.2.png,,1,line,0.19,0.01,0.01,61
0.2,-1,quad,0.1,data/Exp2/quad/scatter/S0.2m-0.1.png,,1,scatter,0,-0.1,0.1,63
0.15,-1,trig,0.8,data/Exp2/trig/line/S0.15m-0.8.png,,1,line,-0.99,0.19,0.19,64
0.15,-1,line,0.2,data/Exp2/line/line/S0.15m-0.2.png,,1,line,-0.27,0.07,0.07,62
0.15,1,line,0.4,data/Exp2/line/scatter/S0.15m0.4.png,,1,scatter,0.29,0.11,0.11,65
0.15,1,trig,0.2,data/Exp2/trig/line/S0.15m0.2.png,,1,line,0.29,-0.09,0.09,66
0.2,-1,line,0.8,data/Exp2/line/scatter/S0.2m-0.8.png,,1,scatter,-1,0.2,0.2,67
0.15,1,quad,0.8,data/Exp2/quad/area/S0.15m0.8.png,,1,area,0.96,-0.16,0.16,69
0.05,-1,trig,0.2,data/Exp2/trig/scatter/S0.05m-0.2.png,,1,scatter,-0.26,0.06,0.06,70
0.1,-1,trig,0.1,data/Exp2/trig/line/S0.1m-0.1.png,,1,line,-0.17,0.07,0.07,71
0.2,1,line,0.2,data/Exp2/line/scatter/S0.2m0.2.png,,1,scatter,0.01,0.19,0.19,72
0.15,1,line,0.1,data/Exp2/line/area/S0.15m0.1.png,,1,area,0.07,0.03,0.03,73
0.1,-1,quad,0.4,data/Exp2/quad/line/S0.1m-0.4.png,,1,line,-0.46,0.06,0.06,74
0.05,1,quad,0.4,data/Exp2/quad/scatter/S0.05m0.4.png,,1,scatter,0.45,-0.05,0.05,75
0.2,1,line,0.1,data/Exp2/line/area/S0.2m0.1.png,,1,area,0,0.1,0.1,77
0.05,1,trig,0.1,data/Exp2/trig/scatter/S0.05m0.1.png,,1,scatter,0.1,0,0,78
0.2,1,line,0.8,data/Exp2/line/area/S0.2m0.8.png,,1,area,1,-0.2,0.2,79
0.1,1,quad,0.4,data/Exp2/quad/scatter/S0.1m0.4.png,,1,scatter,0.56,-0.16,0.16,80
0.05,-1,line,0.8,data/Exp2/line/line/S0.05m-0.8.png,,1,line,-0.76,-0.04,0.04,81
0.1,-1,quad,0.8,data/Exp2/quad/line/S0.1m-0.8.png,,1,line,-0.92,0.12,0.12,82
0.05,-1,trig,0.4,data/Exp2/trig/line/S0.05m-0.4.png,,1,line,-0.45,0.05,0.05,83
0.1,1,trig,0.1,data/Exp2/trig/area/S0.1m0.1.png,,1,area,0.16,-0.06,0.06,84
0.1,-1,quad,0.8,data/Exp2/quad/area/S0.1m-0.8.png,,1,area,-0.86,0.06,0.06,86
0.1,1,line,0.8,data/Exp2/line/area/S0.1m0.8.png,,1,area,0.87,-0.07,0.07,87
0.2,-1,quad,0.8,data/Exp2/quad/area/S0.2m-0.8.png,,1,area,-1,0.2,0.2,89
0.15,1,quad,0.8,data/Exp2/quad/scatter/S0.15m0.8.png,,1,scatter,1,-0.2,0.2,90
0.1,-1,quad,0.1,data/Exp2/quad/scatter/S0.1m-0.1.png,,1,scatter,-0.22,0.12,0.12,91
