sigma,sign,type,m,src,isValidation,id,graphtype,offset,outlierLoc,outlierNum,ix,iy,actualm,actualb,answer,error,unsignedError,errorActual,unsignedErrorActual,index
0.05,1,line,0.1,data/Exp4/line/area/S0.05m0.1oe0.png,,39,area,0,e,0,0,0,0.1,0.45,0.11,-0.01,0.01,-0.01,0.01,81
0.15,-1,line,0.1,data/Exp4/line/scatter/S0.15m-0.1oe5.png,,39,scatter,0,e,5,0.30405146,0.5195949,0.12710717,0.4809478,-0.17,0.07,0.07,0.3,0.3,82
0.1,-1,line,0.2,data/Exp4/line/area/S0.1m-0.2oe5.png,,39,area,0,e,5,0.31319943,0.5373601,0.055115413,0.520098,-0.07,-0.13,0.13,0.13,0.13,84
0.2,1,line,0.4,data/Exp4/line/line/S0.2m0.4ob5.png,,39,line,0,b,5,0.6963538,0.57854164,0.12808433,0.4893496,0.24,0.16,0.16,-0.11,0.11,85
0.05,-1,line,0.8,data/Exp4/line/line/S0.05m-0.8ob5.png,,39,line,0,b,5,0.67266434,0.3618685,-0.4401389,0.65793425,-0.53,-0.27,0.27,0.09,0.09,86
0.2,-1,line,0.2,data/Exp4/line/scatter/S0.2m-0.2ob15.png,,39,scatter,0,b,15,0.6911889,0.4617622,0.48751697,0.12479591,0.12,-0.32,0.32,0.37,0.37,88
0.15,-1,line,0.2,data/Exp4/line/scatter/S0.15m-0.2ob0.png,,39,scatter,0,b,0,0,0,-0.2,0.4,-0.16,-0.04,0.04,-0.04,0.04,87
0.2,-1,line,0.2,data/Exp4/line/scatter/S0.2m-0.2om0.png,,39,scatter,0,m,0,0,0,-0.2,0.4,-0.18,-0.02,0.02,-0.02,0.02,89
0.2,1,line,0.4,data/Exp4/line/scatter/S0.2m0.4oe5.png,,39,scatter,0,e,5,0.3422054,0.4368822,0.12752087,0.39324388,0.46,-0.06,0.06,-0.33,0.33,90
0.2,1,line,0.2,data/Exp4/line/area/S0.2m0.2ob15.png,,39,area,0,b,15,0.7045363,0.5409072,-0.46742553,0.8702255,0.2,0,0,-0.67,0.67,91
0.15,1,line,0.8,data/Exp4/line/scatter/S0.15m0.8om5.png,,39,scatter,0,m,5,1.0205475,0.9164383,0.7004834,0.20156172,0.67,0.13,0.13,0.03,0.03,92
0.05,1,line,0.2,data/Exp4/line/line/S0.05m0.2ob0.png,,39,line,0,b,0,0,0,0.2,0.4,0.22,-0.02,0.02,-0.02,0.02,93
0.2,1,line,0.1,data/Exp4/line/line/S0.2m0.1om5.png,,39,line,0,m,5,1.0391302,0.553913,0.00048735674,0.5534066,0.09,0.01,0.01,-0.09,0.09,94
0.2,1,line,0.2,data/Exp4/line/area/S0.2m0.2oe0.png,,39,area,0,e,0,0,0,0.2,0.4,0.22,-0.02,0.02,-0.02,0.02,95
0.1,-1,line,0.4,data/Exp4/line/line/S0.1m-0.4om15.png,,39,line,0,m,15,0.97248614,0.31100556,-0.12813587,0.4356159,-0.3,-0.1,0.1,0.17,0.17,96
0.1,-1,line,0.1,data/Exp4/line/scatter/S0.1m-0.1om15.png,,39,scatter,0,m,15,0.9677757,0.45322242,0.16152436,0.29690307,-0.12,0.02,0.02,0.28,0.28,97
0.15,-1,line,0.8,data/Exp4/line/scatter/S0.15m-0.8oe15.png,,39,scatter,0,e,15,0.29695615,0.6624349,0.07786653,0.6393119,-0.69,-0.11,0.11,0.77,0.77,98
0.1,-1,line,0.1,data/Exp4/line/line/S0.1m-0.1om5.png,,39,line,0,m,5,0.9504121,0.45495883,-0.011953706,0.46631977,-0.05,-0.05,0.05,0.04,0.04,99
0.15,-1,line,0.8,data/Exp4/line/scatter/S0.15m-0.8ob10.png,,40,scatter,0,b,10,0.6807561,0.35539514,-0.17248137,0.47281286,-1,0.2,0.2,0.83,0.83,2
0.2,1,line,0.8,data/Exp4/line/line/S0.2m0.8om15.png,,40,line,0,m,15,0.99951524,0.8996125,0.500529,0.39932612,0.8,0,0,-0.3,0.3,1
0.15,1,line,0.2,data/Exp4/line/scatter/S0.15m0.2oe5.png,,40,scatter,0,e,5,0.33926836,0.4678536,-0.040542778,0.48160848,0.53,-0.33,0.33,-0.57,0.57,0
